347.75,2005.5,139.17,115
720.55,2375.4,115,184.51
745.23,1864.1,115,190.86
746.58,1788.8,115,191.21
272.22,2625.8,174.1,115
739.07,1573.8,115,189.28
696.1,1312.6,115,178.23
612.16,976.92,146.66,134.03
631.53,1899.3,115,161.64
527.81,1508,115,134.99
727.91,1628.6,115,186.41
749.24,1696.8,115,191.89
571.11,2484.7,115,146.12
624.82,1503.7,115,159.92
261.94,2013.3,178.85,115
356.31,2754.8,135.21,115
563,951.13,155.62,120.67
528.25,999.93,149.23,118.18
594.97,968.2,149.62,129.33
446.1,1609.1,115,115
726.51,1878.9,115,186.05
659.12,1691.3,115,168.73
748.64,1012.6,131.32,168.69
430.05,2377,115,115
752.6,821.2,150.35,141.7
327.35,1817.9,148.6,115
683.7,913.76,148.84,141.18
690.6,1420.9,115,176.82
511.99,2805.5,115,130.93
738.15,2045,115,189.04
979.67,709.43,115.63,161.91
738.28,826.03,152.03,139.76
727.97,3705.3,115,186.42
727.18,1560.9,115,186.22
786.24,1517.9,115,201.4
455.37,2975.5,115,116.38
654.03,1541.2,115,167.43
611,1232.3,115,156.37
471.24,2649.5,115,120.46
332.11,1904.9,146.4,115
390.48,2217.2,119.4,115
461.29,2542.8,115,117.9
310.66,1001.9,187.12,101.07
524.42,2460,115,134.12
613.42,1233.3,115,156.99
464.84,2098.5,115,118.81
370.36,2344.6,128.71,115
451.7,1757.5,115,115.44
1014.5,2928.6,115,260.04
770.21,1025.4,128.62,175.43
740.13,1667.9,115,189.55
746.76,2105.2,115,191.25
267.84,2607,176.12,115
475.39,1677.7,115,121.53
410.69,2141,115,115
742.17,2018.3,115,190.07
539.13,994.72,149.43,120.06
474.51,1959.4,115,121.3
469.11,2339.8,115,119.91
598.23,2150.2,115,153.09
683.63,3181.6,115,175.03
1033.5,970.2,110.52,223.64
743.54,2785.4,115,190.42
770.56,1334.5,115,197.37
413.44,2674,115,115
722.99,1620.6,115,185.14
504.39,2999.3,115,128.98
747.84,2565.4,115,191.53
728.07,1629.2,115,186.45
517.85,2618.2,115,132.44
736.2,2488.4,115,188.54
388.57,2576.2,120.29,115
628.16,754.99,179.66,111.06
518.14,2614.9,115,132.51
305.33,1745.3,158.78,115
626.51,972.03,146.2,136.54
672.51,770.96,169.42,120.61
493.69,1047.9,141.48,114.95
740.09,1628.4,115,189.54
568.75,758.98,189.77,101.41
1001.4,2805.6,115,256.68
538.71,846.32,178.33,105.03
418.26,1573.9,115,115
823.56,1027.1,125.09,187.77
532.09,980.33,152.82,117.08
513.57,3026.7,115,131.33
739.58,1574,115,189.41
756,1818.5,115,193.63
740.79,1538.1,115,189.72
395.62,2255.2,117.02,115
573.74,946.92,155.33,122.48
740.46,1903.9,115,189.63
719.83,1645,115,184.33
662.63,1065.8,129.81,156.26
721.06,3798.5,115,184.65
749.61,2591.1,115,191.98
674.63,1612.5,115,172.72
338.62,2244.5,143.39,115
737.71,1437.3,115,188.93
702.04,1458,115,179.76
670.61,1218.4,115,171.68
407.53,2627.7,115,115
682.24,1246.7,115,174.67
679.51,895.22,151.78,137.91
510.82,1872,115,130.63
289.69,2286.3,166.02,115
598.27,948.15,152.71,127.76
693.46,1986.9,115,177.56
401.5,2285,115,115
692.09,1080.3,126.58,165.12
743.94,1830.8,115,190.53
465.56,2398.6,115,119
475.27,1874.3,115,121.49
1050.9,1110.6,113.2,256.85
380.37,1446,124.08,115
741.82,932.51,140.28,155.64
688.28,780.98,165.38,124.64
745.23,1610,115,190.86
724.62,1950.9,115,185.56
581.77,866.62,168.64,115.36
494.9,2964.8,115,126.54
495.37,2798.1,115,126.66
403.59,1481.8,115,115
616.97,1904.5,115,157.9
4135.3,963.86,97.934,251.43
506.1,2201.9,115,129.41
583.71,767.79,185.55,104.92
506.38,2330.6,115,129.49
734.99,2518.4,115,188.23
646.69,1051,132.74,150.67
806.13,2604.8,115,206.51
564.81,2686.1,115,144.5
575.9,876.9,167.6,115.34
430.98,2800,115,115
332.03,1277.3,146.44,115
637.22,1551.5,115,163.11
641.86,1036,135.25,147.71
310.49,1211,156.4,115
449.02,2112.2,115,115
720.34,1611,115,184.46
